Variety,Freq,M%,Phase_Corr,Permittivity_real,Permittivity_imaginary,d(cm)
KANSAS,7.0,11.3,-415.973,2.416,0.243,8.9
KANSAS,8.0,11.3,-474.289,2.412,0.246,8.9
KANSAS,9.0,11.3,-528.171,2.395,0.246,8.9
KANSAS,10.0,11.3,-585.151,2.39,0.246,8.9
KANSAS,11.0,11.3,-636.498,2.371,0.238,8.9
KANSAS,12.0,11.3,-692.677,2.368,0.229,8.9
KANSAS,13.0,11.3,-746.224,2.359,0.22,8.9
KANSAS,14.0,11.3,-805.408,2.362,0.22,8.9
KANSAS,15.0,11.3,-859.456,2.355,0.225,8.9
KANSAS,16.0,11.3,-915.798,2.353,0.232,8.9
KANSAS,17.0,11.3,-966.095,2.342,0.232,8.9
KANSAS,18.0,11.3,-1021.718,2.34,0.224,8.9
KANSAS,6.0,11.3,-386.205,2.562,0.265,8.9
KANSAS,7.0,11.3,-442.811,2.529,0.264,8.9
KANSAS,8.0,11.3,-504.973,2.524,0.264,8.9
KANSAS,9.0,11.3,-562.455,2.506,0.261,8.9
KANSAS,10.0,11.3,-623.411,2.501,0.259,8.9
KANSAS,11.0,11.3,-678.003,2.481,0.251,8.9
KANSAS,12.0,11.3,-736.716,2.474,0.243,8.9
KANSAS,13.0,11.3,-792.081,2.461,0.235,8.9
KANSAS,14.0,11.3,-853.469,2.462,0.236,8.9
KANSAS,15.0,11.3,-910.113,2.453,0.24,8.9
KANSAS,16.0,11.3,-969.361,2.45,0.248,8.9
KANSAS,17.0,11.3,-1021.407,2.435,0.248,8.9
KANSAS,18.0,11.3,-1077.359,2.429,0.239,8.9
KANSAS,6.0,11.3,-397.172,2.616,0.277,8.9
KANSAS,7.0,11.3,-454.996,2.58,0.275,8.9
KANSAS,8.0,11.3,-518.485,2.575,0.275,8.9
KANSAS,9.0,11.3,-577.348,2.555,0.27,8.9
KANSAS,10.0,11.3,-640.029,2.551,0.268,8.9
KANSAS,11.0,11.3,-696.324,2.53,0.26,8.9
KANSAS,12.0,11.3,-756.768,2.523,0.251,8.9
KANSAS,13.0,11.3,-813.521,2.509,0.244,8.9
KANSAS,14.0,11.3,-876.26,2.51,0.244,8.9
KANSAS,15.0,11.3,-934.021,2.5,0.248,8.9
KANSAS,16.0,11.3,-994.222,2.496,0.256,8.9
KANSAS,17.0,11.3,-1046.643,2.479,0.257,8.9
KANSAS,18.0,11.3,-1102.044,2.469,0.248,8.9
KANSAS,6.0,13.85,-343.799,2.614,0.329,7.7
KANSAS,7.0,13.85,-392.787,2.573,0.333,7.7
KANSAS,8.0,13.85,-446.385,2.561,0.342,7.7
KANSAS,9.0,13.85,-495.578,2.535,0.348,7.7
KANSAS,10.0,13.85,-547.508,2.524,0.352,7.7
KANSAS,11.0,13.85,-594.976,2.502,0.344,7.7
KANSAS,12.0,13.85,-647.893,2.499,0.333,7.7
KANSAS,13.0,13.85,-698.27,2.49,0.325,7.7
KANSAS,14.0,13.85,-752.334,2.491,0.327,7.7
KANSAS,15.0,13.85,-799.65,2.476,0.333,7.7
KANSAS,16.0,13.85,-848.209,2.465,0.339,7.7
KANSAS,17.0,13.85,-894.183,2.451,0.336,7.7
KANSAS,18.0,13.85,-950.458,2.458,0.333,7.7
KANSAS,6.0,13.85,-373.41,2.788,0.383,7.7
KANSAS,7.0,13.85,-426.834,2.742,0.384,7.7
KANSAS,8.0,13.85,-485.335,2.73,0.391,7.7
KANSAS,9.0,13.85,-539.335,2.704,0.391,7.7
KANSAS,10.0,13.85,-596.701,2.694,0.392,7.7
KANSAS,11.0,13.85,-648.561,2.67,0.381,7.7
KANSAS,12.0,13.85,-704.969,2.663,0.368,7.7
KANSAS,13.0,13.85,-758.025,2.648,0.356,7.7
KANSAS,14.0,13.85,-815.457,2.646,0.356,7.7
KANSAS,15.0,13.85,-866.415,2.629,0.36,7.7
KANSAS,16.0,13.85,-918.447,2.616,0.364,7.7
KANSAS,17.0,13.85,-966.448,2.597,0.357,7.7
KANSAS,18.0,13.85,-1023.766,2.599,0.344,7.7
KANSAS,6.0,13.85,-387.431,2.872,0.403,7.7
KANSAS,7.0,13.85,-443.407,2.827,0.406,7.7
KANSAS,8.0,13.85,-504.447,2.816,0.411,7.7
KANSAS,9.0,13.85,-560.832,2.789,0.406,7.7
KANSAS,10.0,13.85,-621.005,2.781,0.401,7.7
KANSAS,11.0,13.85,-675.327,2.757,0.388,7.7
KANSAS,12.0,13.85,-733.607,2.748,0.377,7.7
KANSAS,13.0,13.85,-787.725,2.729,0.368,7.7
KANSAS,14.0,13.85,-846.363,2.724,0.371,7.7
KANSAS,15.0,13.85,-898.882,2.705,0.377,7.7
KANSAS,16.0,13.85,-952.375,2.69,0.386,7.7
KANSAS,17.0,13.85,-1000.82,2.667,0.379,7.7
KANSAS,18.0,13.85,-1059.24,2.667,0.362,7.7
KANSAS,5.0,16.33,-310.991,2.785,0.404,7.7
KANSAS,6.0,16.33,-368.141,2.753,0.423,7.7
KANSAS,7.0,16.33,-421.227,2.71,0.427,7.7
KANSAS,8.0,16.33,-479.75,2.702,0.434,7.7
KANSAS,9.0,16.33,-533.844,2.679,0.434,7.7
KANSAS,10.0,16.33,-590.116,2.668,0.435,7.7
KANSAS,11.0,16.33,-638.683,2.635,0.423,7.7
KANSAS,12.0,16.33,-689.799,2.615,0.409,7.7
KANSAS,13.0,16.33,-738.553,2.593,0.395,7.7
KANSAS,14.0,16.33,-793.438,2.588,0.397,7.7
KANSAS,15.0,16.33,-844.141,2.573,0.409,7.7
KANSAS,16.0,16.33,-897.233,2.565,0.425,7.7
KANSAS,5.0,16.33,-339.583,2.992,0.467,7.7
KANSAS,6.0,16.33,-401.825,2.955,0.486,7.7
KANSAS,7.0,16.33,-459.433,2.905,0.487,7.7
KANSAS,8.0,16.33,-522.691,2.894,0.489,7.7
KANSAS,9.0,16.33,-581.388,2.867,0.479,7.7
KANSAS,10.0,16.33,-643.314,2.858,0.471,7.7
KANSAS,11.0,16.33,-697.503,2.825,0.457,7.7
KANSAS,12.0,16.33,-753.823,2.804,0.445,7.7
KANSAS,13.0,16.33,-805.958,2.775,0.435,7.7
KANSAS,14.0,16.33,-863.913,2.765,0.437,7.7
KANSAS,15.0,16.33,-917.207,2.743,0.446,7.7
KANSAS,5.0,16.33,-355.195,3.108,0.514,7.7
KANSAS,6.0,16.33,-420.426,3.069,0.532,7.7
KANSAS,7.0,16.33,-480.903,3.017,0.53,7.7
KANSAS,8.0,16.33,-546.964,3.004,0.527,7.7
KANSAS,9.0,16.33,-607.673,2.974,0.51,7.7
KANSAS,10.0,16.33,-671.193,2.96,0.496,7.7
KANSAS,11.0,16.33,-726.652,2.921,0.479,7.7
KANSAS,12.0,16.33,-784.24,2.896,0.469,7.7
KANSAS,13.0,16.33,-837.269,2.862,0.46,7.7
KANSAS,14.0,16.33,-896.318,2.847,0.463,7.7
KANSAS,15.0,16.33,-951.264,2.824,0.471,7.7
KANSAS,5.0,18.13,-287.264,2.996,0.484,6.5
KANSAS,6.0,18.13,-336.989,2.937,0.502,6.5
KANSAS,7.0,18.13,-382.29,2.869,0.503,6.5
KANSAS,8.0,18.13,-431.956,2.84,0.517,6.5
KANSAS,9.0,18.13,-477.206,2.797,0.531,6.5
KANSAS,10.0,18.13,-523.769,2.767,0.55,6.5
KANSAS,11.0,18.13,-565.88,2.727,0.546,6.5
KANSAS,12.0,18.13,-614.739,2.719,0.537,6.5
KANSAS,13.0,18.13,-663.323,2.711,0.526,6.5
KANSAS,14.0,18.13,-716.423,2.717,0.529,6.5
