,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary
0,BURTON,8.0,13.7,10.0364,0.6383,10.71,113.73,-606.27,2.132,0.157
1,BURTON,9.0,13.7,10.0364,0.6383,11.25,42.161,-677.839,2.124,0.146
2,BURTON,10.0,13.7,10.0364,0.6383,13.12,-19.556,-739.556,2.099,0.153
3,BURTON,11.0,13.7,10.0364,0.6383,12.99,-77.109,-797.109,2.074,0.137
4,BURTON,12.0,13.7,10.0364,0.6383,14.35,-155.902,-875.902,2.083,0.139
5,BURTON,13.0,13.7,10.0364,0.6383,14.71,120.005,-959.995,2.098,0.132
6,BURTON,14.0,13.7,10.0364,0.6383,17.82,45.989,-1034.011,2.098,0.148
7,BURTON,15.0,13.7,10.0364,0.6383,19.66,-15.951,-1095.951,2.084,0.152
8,BURTON,16.0,13.7,10.0364,0.6383,21.48,-76.152,-1156.152,2.069,0.155
9,BURTON,17.0,13.7,10.0364,0.6383,23.03,-162.057,-1242.057,2.083,0.157
10,BURTON,18.0,13.7,10.0364,0.6383,24.86,124.398,-1315.602,2.084,0.16
11,BURTON,8.0,13.7,10.0364,0.6818,10.98,83.963,-636.037,2.198,0.163
12,BURTON,9.0,13.7,10.0364,0.6818,11.55,10.478,-709.522,2.186,0.152
13,BURTON,10.0,13.7,10.0364,0.6818,14.03,-56.862,-776.862,2.165,0.166
14,BURTON,11.0,13.7,10.0364,0.6818,14.16,-117.291,-837.291,2.138,0.151
15,BURTON,12.0,13.7,10.0364,0.6818,15.08,164.626,-915.374,2.141,0.148
16,BURTON,13.0,13.7,10.0364,0.6818,16.22,73.607,-1006.393,2.161,0.147
17,BURTON,14.0,13.7,10.0364,0.6818,18.93,3.753,-1076.247,2.151,0.159
18,BURTON,15.0,13.7,10.0364,0.6818,20.59,-62.711,-1142.711,2.138,0.161
19,BURTON,16.0,13.7,10.0364,0.6818,22.56,-132.183,-1212.183,2.131,0.165
20,BURTON,17.0,13.7,10.0364,0.6818,24.07,147.166,-1292.834,2.136,0.166
21,BURTON,18.0,13.7,10.0364,0.6818,25.21,70.904,-1369.096,2.136,0.164
22,BURTON,7.0,13.7,10.0364,0.7039,8.21,130.799,-589.201,2.284,0.142
23,BURTON,8.0,13.7,10.0364,0.7039,11.34,62.341,-657.659,2.247,0.171
24,BURTON,9.0,13.7,10.0364,0.7039,12.14,-12.799,-732.799,2.233,0.162
25,BURTON,10.0,13.7,10.0364,0.7039,14.5,-82.896,-802.896,2.212,0.173
26,BURTON,11.0,13.7,10.0364,0.7039,14.4,-152.82,-872.82,2.195,0.156
27,BURTON,12.0,13.7,10.0364,0.7039,15.64,131.929,-948.071,2.189,0.155
28,BURTON,13.0,13.7,10.0364,0.7039,16.78,26.167,-1053.833,2.227,0.155
29,BURTON,14.0,13.7,10.0364,0.7039,20.51,-34.33,-1114.33,2.199,0.175
30,BURTON,15.0,13.7,10.0364,0.7039,21.73,-103.719,-1183.719,2.187,0.172
31,BURTON,16.0,13.7,10.0364,0.7039,22.98,-178.002,-1258.002,2.182,0.17
