,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary
0,HORSEPOWER,10.0,13.0,9.08,0.5211,8.4043,164.395,-555.605,1.838,0.097
1,HORSEPOWER,11.0,13.0,9.08,0.5211,9.1684,112.82,-607.18,1.832,0.095
2,HORSEPOWER,12.0,13.0,9.08,0.5211,9.9515,56.418,-663.582,1.833,0.095
3,HORSEPOWER,13.0,13.0,9.08,0.5211,10.8424,3.716,-716.284,1.83,0.095
4,HORSEPOWER,14.0,13.0,9.08,0.5211,12.111,-53.818,-773.818,1.833,0.099
5,HORSEPOWER,15.0,13.0,9.08,0.5211,13.6387,-106.692,-826.692,1.83,0.104
6,HORSEPOWER,16.0,13.0,9.08,0.5211,15.5457,-162.562,-882.562,1.831,0.111
7,HORSEPOWER,17.0,13.0,9.08,0.5211,17.3292,148.291,-931.709,1.824,0.116
8,HORSEPOWER,18.0,13.0,9.08,0.5211,19.2515,98.122,-981.878,1.82,0.122
9,HORSEPOWER,10.0,13.0,9.08,0.5745,8.8739,111.768,-608.232,1.93,0.104
10,HORSEPOWER,11.0,13.0,9.08,0.5745,9.7356,56.619,-663.381,1.921,0.104
11,HORSEPOWER,12.0,13.0,9.08,0.5745,10.6626,-3.083,-723.083,1.92,0.104
12,HORSEPOWER,13.0,13.0,9.08,0.5745,11.634,-58.612,-778.612,1.914,0.105
13,HORSEPOWER,14.0,13.0,9.08,0.5745,12.8795,-119.43,-839.43,1.915,0.108
14,HORSEPOWER,15.0,13.0,9.08,0.5745,14.2889,-175.897,-895.897,1.911,0.112
15,HORSEPOWER,16.0,13.0,9.08,0.5745,15.9721,123.518,-956.482,1.911,0.117
16,HORSEPOWER,17.0,13.0,9.08,0.5745,17.5885,69.009,-1010.991,1.906,0.121
17,HORSEPOWER,18.0,13.0,9.08,0.5745,19.6593,10.134,-1069.866,1.905,0.127
18,HORSEPOWER,9.0,13.0,9.08,0.5967,8.3815,152.987,-567.013,1.969,0.11
19,HORSEPOWER,10.0,13.0,9.08,0.5967,9.4217,90.932,-629.068,1.968,0.112
20,HORSEPOWER,11.0,13.0,9.08,0.5967,10.2572,34.027,-685.973,1.958,0.11
21,HORSEPOWER,12.0,13.0,9.08,0.5967,11.1818,-27.657,-747.657,1.957,0.11
22,HORSEPOWER,13.0,13.0,9.08,0.5967,12.1461,-85.13,-805.13,1.95,0.11
23,HORSEPOWER,14.0,13.0,9.08,0.5967,13.4324,-148.217,-868.217,1.951,0.113
24,HORSEPOWER,15.0,13.0,9.08,0.5967,14.8464,153.082,-926.918,1.947,0.117
25,HORSEPOWER,16.0,13.0,9.08,0.5967,16.5948,89.951,-990.049,1.949,0.123
26,HORSEPOWER,17.0,13.0,9.08,0.5967,18.4164,32.925,-1047.075,1.943,0.128
27,HORSEPOWER,18.0,13.0,9.08,0.5967,20.9151,-29.626,-1109.626,1.944,0.137
28,HORSEPOWER,8.0,10.3,13.79,0.521,9.0939,-42.856,-402.856,1.977,0.171
29,HORSEPOWER,9.0,10.3,13.79,0.521,10.6626,-85.739,-445.739,1.958,0.177
30,HORSEPOWER,10.0,10.3,13.79,0.521,12.1461,-130.913,-490.913,1.948,0.181
31,HORSEPOWER,11.0,10.3,13.79,0.521,13.1911,-173.945,-533.945,1.936,0.178
32,HORSEPOWER,12.0,10.3,13.79,0.521,14.2889,136.603,-583.397,1.937,0.177
33,HORSEPOWER,13.0,10.3,13.79,0.521,15.5457,89.684,-630.316,1.934,0.178
34,HORSEPOWER,14.0,10.3,13.79,0.521,17.2024,39.952,-680.048,1.936,0.183
35,HORSEPOWER,15.0,10.3,13.79,0.521,18.8619,-3.656,-723.656,1.928,0.187
36,HORSEPOWER,16.0,10.3,13.79,0.521,20.4455,-49.248,-769.248,1.925,0.189
37,HORSEPOWER,17.0,10.3,13.79,0.521,21.6184,-92.26,-812.26,1.918,0.188
38,HORSEPOWER,18.0,10.3,13.79,0.521,22.8534,-142.011,-862.011,1.92,0.188
39,HORSEPOWER,7.0,10.3,13.79,0.5619,8.3587,-30.791,-390.791,2.103,0.185
40,HORSEPOWER,8.0,10.3,13.79,0.5619,10.0338,-84.041,-444.041,2.095,0.194
41,HORSEPOWER,9.0,10.3,13.79,0.5619,11.7005,-132.286,-492.286,2.076,0.2
42,HORSEPOWER,10.0,10.3,13.79,0.5619,13.3512,176.892,-543.108,2.067,0.205
43,HORSEPOWER,11.0,10.3,13.79,0.5619,14.5168,129.878,-590.122,2.052,0.202
44,HORSEPOWER,12.0,10.3,13.79,0.5619,15.4938,76.737,-643.263,2.051,0.197
45,HORSEPOWER,13.0,10.3,13.79,0.5619,16.5363,25.726,-694.274,2.046,0.195
46,HORSEPOWER,14.0,10.3,13.79,0.5619,18.2728,-29.07,-749.07,2.048,0.2
47,HORSEPOWER,15.0,10.3,13.79,0.5619,20.3546,-76.336,-796.336,2.038,0.207
48,HORSEPOWER,16.0,10.3,13.79,0.5619,22.3837,-123.316,-843.316,2.029,0.213
49,HORSEPOWER,17.0,10.3,13.79,0.5619,23.6091,-167.439,-887.439,2.018,0.21
50,HORSEPOWER,18.0,10.3,13.79,0.5619,24.583,139.367,-940.633,2.019,0.207
51,HORSEPOWER,7.0,10.3,13.79,0.5856,9.2436,-49.292,-409.292,2.165,0.208
52,HORSEPOWER,8.0,10.3,13.79,0.5856,10.995,-104.79,-464.79,2.156,0.215
53,HORSEPOWER,9.0,10.3,13.79,0.5856,12.6529,-155.505,-515.505,2.136,0.22
54,HORSEPOWER,10.0,10.3,13.79,0.5856,14.2889,150.673,-569.327,2.128,0.223
55,HORSEPOWER,11.0,10.3,13.79,0.5856,15.391,101.098,-618.903,2.112,0.217
56,HORSEPOWER,12.0,10.3,13.79,0.5856,16.3062,45.573,-674.427,2.111,0.211
57,HORSEPOWER,13.0,10.3,13.79,0.5856,17.3292,-7.629,-727.629,2.106,0.207
58,HORSEPOWER,14.0,10.3,13.79,0.5856,19.1721,-65.121,-785.121,2.108,0.212
59,HORSEPOWER,15.0,10.3,13.79,0.5856,21.4116,-114.835,-834.835,2.098,0.221
60,HORSEPOWER,16.0,10.3,13.79,0.5856,23.8764,-163.295,-883.295,2.086,0.23
61,HORSEPOWER,17.0,10.3,13.79,0.5856,25.0362,152.11,-927.89,2.072,0.227
62,HORSEPOWER,18.0,10.3,13.79,0.5856,25.8486,96.954,-983.046,2.073,0.221
63,HORSEPOWER,7.0,7.7,17.63,0.5054,8.0242,57.513,-302.487,2.147,0.24
64,HORSEPOWER,8.0,7.7,17.63,0.5054,9.897,17.537,-342.463,2.133,0.259
65,HORSEPOWER,9.0,7.7,17.63,0.5054,11.8352,-15.849,-375.849,2.099,0.273
66,HORSEPOWER,10.0,7.7,17.63,0.5054,13.4324,-49.281,-409.281,2.073,0.277
67,HORSEPOWER,11.0,7.7,17.63,0.5054,14.4708,-82.83,-442.83,2.052,0.27
68,HORSEPOWER,12.0,7.7,17.63,0.5054,15.8097,-123.33,-483.33,2.053,0.27
69,HORSEPOWER,13.0,7.7,17.63,0.5054,17.3933,-162.054,-522.054,2.049,0.274
70,HORSEPOWER,14.0,7.7,17.63,0.5054,19.4939,156.816,-563.184,2.05,0.286
