,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary
0,RS 215,5.0,10.4,10.962,0.7649,8.79,-50.699,-410.699,2.741,0.308
1,RS 215,6.0,10.4,10.962,0.7649,9.68,-117.304,-477.304,2.674,0.279
2,RS 215,7.0,10.4,10.962,0.7649,12.54,169.566,-550.434,2.648,0.309
3,RS 215,8.0,10.4,10.962,0.7649,13.17,97.88,-622.12,2.627,0.282
4,RS 215,9.0,10.4,10.962,0.7649,14.38,21.55,-698.45,2.623,0.274
5,RS 215,10.0,10.4,10.962,0.7649,16.54,-37.047,-757.047,2.574,0.281
6,RS 215,11.0,10.4,10.962,0.7649,17.95,-105.392,-825.392,2.557,0.276
7,RS 215,12.0,10.4,10.962,0.7649,19.17,177.034,-902.966,2.562,0.271
8,RS 215,13.0,10.4,10.962,0.7649,19.36,95.206,-984.794,2.576,0.253
9,RS 215,14.0,10.4,10.962,0.7649,21.97,27.466,-1052.534,2.561,0.266
10,RS 215,15.0,10.4,10.962,0.7649,23.34,-40.349,-1120.349,2.548,0.263
11,RS 215,16.0,10.4,10.962,0.7649,25.02,-105.625,-1185.625,2.533,0.263
12,RS 215,17.0,10.4,10.962,0.7649,27.28,172.68,-1267.32,2.544,0.271
13,RS 215,18.0,10.4,10.962,0.7649,28.21,94.708,-1345.292,2.55,0.265
14,RS 215,5.0,10.4,10.962,0.8173,9.32,-73.185,-433.185,2.861,0.334
15,RS 215,6.0,10.4,10.962,0.8173,10.37,-140.712,-500.712,2.776,0.305
16,RS 215,7.0,10.4,10.962,0.8173,12.5,140.397,-579.603,2.758,0.314
17,RS 215,8.0,10.4,10.962,0.8173,13.44,64.071,-655.929,2.738,0.294
18,RS 215,9.0,10.4,10.962,0.8173,14.97,-13.206,-733.206,2.724,0.291
19,RS 215,10.0,10.4,10.962,0.8173,17.37,-77.693,-797.693,2.678,0.301
20,RS 215,11.0,10.4,10.962,0.8173,19.38,-151.981,-871.981,2.665,0.305
21,RS 215,12.0,10.4,10.962,0.8173,19.98,133.831,-946.169,2.655,0.287
22,RS 215,13.0,10.4,10.962,0.8173,20.52,37.478,-1042.522,2.691,0.274
23,RS 215,14.0,10.4,10.962,0.8173,24.03,-24.729,-1104.729,2.656,0.296
24,RS 215,15.0,10.4,10.962,0.8173,25.07,-94.006,-1174.006,2.64,0.287
25,RS 215,16.0,10.4,10.962,0.8173,25.94,-167.172,-1247.172,2.632,0.278
26,RS 215,17.0,10.4,10.962,0.8173,28.31,111.5,-1328.5,2.637,0.286
27,RS 215,18.0,10.4,10.962,0.8173,28.68,40.611,-1399.389,2.627,0.273
28,RS 215,5.0,10.4,10.962,0.8564,9.52,-95.014,-455.014,2.98,0.348
29,RS 215,6.0,10.4,10.962,0.8564,11.04,-162.278,-522.278,2.872,0.33
30,RS 215,7.0,10.4,10.962,0.8564,12.37,116.367,-603.633,2.851,0.316
31,RS 215,8.0,10.4,10.962,0.8564,13.48,35.589,-684.411,2.833,0.3
32,RS 215,9.0,10.4,10.962,0.8564,15.63,-43.75,-763.75,2.814,0.308
33,RS 215,10.0,10.4,10.962,0.8564,17.7,-114.031,-834.031,2.774,0.312
34,RS 215,11.0,10.4,10.962,0.8564,19.59,164.251,-915.749,2.77,0.314
35,RS 215,12.0,10.4,10.962,0.8564,20.8,91.413,-988.587,2.748,0.304
36,RS 215,13.0,10.4,10.962,0.8564,19.81,-16.729,-1096.729,2.802,0.27
37,RS 215,14.0,10.4,10.962,0.8564,24.96,-82.036,-1162.036,2.764,0.314
38,RS 215,15.0,10.4,10.962,0.8564,26.01,-151.356,-1231.356,2.74,0.304
39,RS 215,16.0,10.4,10.962,0.8564,26.41,134.072,-1305.928,2.728,0.289
40,RS 215,17.0,10.4,10.962,0.8564,29.44,49.533,-1390.467,2.732,0.303
41,RS 215,5.0,6.8,15.5125,0.7343,8.37,59.163,-300.837,3.0,0.47
42,RS 215,6.0,6.8,15.5125,0.7343,10.13,16.523,-343.477,2.877,0.465
43,RS 215,7.0,6.8,15.5125,0.7343,12.78,-39.348,-399.348,2.865,0.501
44,RS 215,8.0,6.8,15.5125,0.7343,13.81,-85.059,-445.059,2.809,0.469
45,RS 215,9.0,6.8,15.5125,0.7343,15.51,-143.038,-503.038,2.82,0.47
46,RS 215,10.0,6.8,15.5125,0.7343,19.12,170.402,-549.598,2.777,0.517
47,RS 215,11.0,6.8,15.5125,0.7343,18.69,129.37,-590.631,2.73,0.456
48,RS 215,12.0,6.8,15.5125,0.7343,19.24,77.734,-642.266,2.725,0.429
49,RS 215,13.0,6.8,15.5125,0.7343,22.14,18.715,-701.285,2.74,0.457
