,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary
0,GA COOK,9.0,7.7,10.17,0.7016,9.0939,-117.925,-477.925,2.474,0.227
1,GA COOK,10.0,7.7,10.17,0.7016,10.4287,-172.315,-532.315,2.479,0.234
2,GA COOK,11.0,7.7,10.17,0.7016,11.3727,137.97,-582.03,2.468,0.232
3,GA COOK,12.0,7.7,10.17,0.7016,12.1813,83.069,-636.931,2.474,0.228
4,GA COOK,13.0,7.7,10.17,0.7016,13.0729,30.688,-689.312,2.472,0.226
5,GA COOK,14.0,7.7,10.17,0.7016,14.6566,-26.878,-746.878,2.483,0.236
6,GA COOK,15.0,7.7,10.17,0.7016,16.6537,-79.095,-799.095,2.479,0.25
7,GA COOK,16.0,7.7,10.17,0.7016,19.0156,-133.77,-853.77,2.481,0.267
8,GA COOK,17.0,7.7,10.17,0.7016,20.6303,175.627,-904.373,2.475,0.273
9,GA COOK,18.0,7.7,10.17,0.7016,21.5144,115.959,-964.041,2.488,0.269
10,GA COOK,8.0,7.7,10.17,0.7604,8.2458,-92.302,-452.302,2.593,0.237
11,GA COOK,9.0,7.7,10.17,0.7604,9.4732,-145.526,-505.526,2.58,0.242
12,GA COOK,10.0,7.7,10.17,0.7604,10.752,156.86,-563.14,2.584,0.247
13,GA COOK,11.0,7.7,10.17,0.7604,11.7676,103.953,-616.047,2.574,0.245
14,GA COOK,12.0,7.7,10.17,0.7604,12.6157,45.931,-674.069,2.58,0.242
15,GA COOK,13.0,7.7,10.17,0.7604,13.5556,-8.994,-728.994,2.577,0.239
16,GA COOK,14.0,7.7,10.17,0.7604,14.9916,-69.336,-789.336,2.587,0.246
17,GA COOK,15.0,7.7,10.17,0.7604,16.8328,-124.277,-844.277,2.583,0.258
18,GA COOK,16.0,7.7,10.17,0.7604,19.0156,178.572,-901.428,2.584,0.273
19,GA COOK,17.0,7.7,10.17,0.7604,20.4455,127.332,-952.669,2.573,0.276
20,GA COOK,18.0,7.7,10.17,0.7604,21.1103,69.821,-1010.179,2.577,0.269
21,GA COOK,8.0,7.7,10.17,0.8001,8.5426,-106.845,-466.845,2.656,0.249
22,GA COOK,9.0,7.7,10.17,0.8001,9.7623,-161.472,-521.472,2.641,0.252
23,GA COOK,10.0,7.7,10.17,0.8001,11.0568,139.532,-580.468,2.645,0.257
24,GA COOK,11.0,7.7,10.17,0.8001,12.076,85.465,-634.535,2.632,0.254
25,GA COOK,12.0,7.7,10.17,0.8001,12.9178,26.227,-693.773,2.637,0.25
26,GA COOK,13.0,7.7,10.17,0.8001,13.7649,-29.886,-749.886,2.633,0.246
27,GA COOK,14.0,7.7,10.17,0.8001,15.1392,-91.693,-811.693,2.643,0.251
28,GA COOK,15.0,7.7,10.17,0.8001,16.7726,-148.163,-868.163,2.639,0.26
29,GA COOK,16.0,7.7,10.17,0.8001,18.786,152.901,-927.099,2.64,0.272
30,GA COOK,17.0,7.7,10.17,0.8001,20.1755,100.279,-979.721,2.629,0.275
31,GA COOK,18.0,7.7,10.17,0.8001,20.8192,42.285,-1037.715,2.63,0.269
32,GA COOK,5.0,7.7,15.97,0.6999,9.8159,19.569,-340.431,2.997,0.487
33,GA COOK,6.0,7.7,15.97,0.6999,12.6902,-45.038,-405.038,2.972,0.523
34,GA COOK,7.0,7.7,15.97,0.6999,15.2894,-105.451,-465.451,2.933,0.537
35,GA COOK,8.0,7.7,15.97,0.6999,17.7882,-172.496,-532.496,2.935,0.545
36,GA COOK,9.0,7.7,15.97,0.6999,19.6593,124.926,-595.075,2.919,0.535
37,GA COOK,10.0,7.7,15.97,0.6999,21.6184,59.248,-660.752,2.918,0.529
38,GA COOK,11.0,7.7,15.97,0.6999,23.6091,2.867,-717.133,2.885,0.523
39,GA COOK,12.0,7.7,15.97,0.6999,26.1961,-53.398,-773.398,2.857,0.529
40,GA COOK,13.0,7.7,15.97,0.6999,28.8739,-103.493,-823.493,2.816,0.536
41,GA COOK,5.0,7.7,15.97,0.7473,10.5742,-1.06,-361.06,3.151,0.538
42,GA COOK,6.0,7.7,15.97,0.7473,13.5556,-70.437,-430.437,3.13,0.573
43,GA COOK,7.0,7.7,15.97,0.7473,16.1375,-135.218,-495.218,3.09,0.581
