Variety,Freq,M%,Phase_Corr,Permittivity_real,Permittivity_imaginary,d(cm),Type
NEBRASKA SETTLER,10.0,17.049404,-680.4591,2.9378898,0.50521344,7.7,17.078772725687102
NEBRASKA SETTLER,7.0,13.2658615,-509.08597,2.8941839,0.4098513,8.9,17.078772725687102
NEBRASKA OVERLAND,12.0,21.207432,-489.02466,3.0067308,0.70519054,4.4,17.420924666307858
KANSAS,5.0,15.010677,-330.08688,2.9412189,0.47221527,7.7,16.21301534650456
KANSAS,8.0,11.72525,-523.7584,2.591427,0.2859737,8.9,16.21301534650456
NEBRASKA OVERLAND,5.0,16.459486,-344.35907,2.9648268,0.5218654,7.7,17.420924666307858
NEBRASKA OVERLAND,15.0,14.199235,-872.8453,2.619638,0.36554396,7.7,17.420924666307858
NEBRASKA SETTLER,7.0,18.256464,-545.80554,3.6434557,0.81196874,6.5,17.078772725687102
OKLAHOMA,6.0,12.066168,-363.43152,2.6522195,0.27530777,7.7,15.737999929794523
KANSAS,7.0,16.938099,-462.4079,2.7129505,0.42528087,7.7,16.21301534650456
NEBRASKA OVERLAND,11.0,20.792097,-521.51044,3.228014,0.77119005,4.4,17.420924666307858
NEBRASKA SETTLER,10.0,21.05768,-395.5985,3.1548147,0.69149506,4.4,17.078772725687102
OKLAHOMA,6.0,23.535753,-274.4802,3.8518314,0.88087213,4.4,15.737999929794523
OKLAHOMA,11.0,10.9788065,-764.05865,2.7086382,0.26786593,8.9,15.737999929794523
KANSAS,5.0,16.336699,-319.07776,2.7171347,0.40573865,7.7,16.21301534650456
OKLAHOMA,6.0,14.279544,-360.73163,2.8063738,0.34732974,7.7,15.737999929794523
OKLAHOMA,12.0,23.887735,-401.65485,2.8656023,0.63778555,4.4,15.737999929794523
KANSAS,5.0,16.064772,-375.72092,3.1303158,0.53409255,7.7,16.21301534650456
NEBRASKA SETTLER,9.0,16.328035,-633.46204,3.0017695,0.520763,7.7,17.078772725687102
OKLAHOMA,15.0,12.16169,-860.6792,2.58682,0.29787725,7.7,15.737999929794523
NEBRASKA SETTLER,7.0,16.90514,-550.994,3.1711648,0.57445985,7.7,17.078772725687102
OKLAHOMA,7.0,23.682777,-318.74377,3.6994543,0.8439184,4.4,15.737999929794523
NEBRASKA SETTLER,6.0,21.155272,-268.29132,3.7334058,0.8328614,4.4,17.078772725687102
NEBRASKA OVERLAND,14.0,20.648268,-658.2645,3.123263,0.75612104,4.4,17.420924666307858
NEBRASKA OVERLAND,5.0,20.582613,-235.32498,3.96542,0.8861494,4.4,17.420924666307858
NEBRASKA OVERLAND,15.0,16.369999,-904.93256,2.7598412,0.48587143,7.7,17.420924666307858
KANSAS,15.0,17.181067,-851.02454,2.9308848,0.58297044,7.7,16.21301534650456
KANSAS,11.0,12.11843,-697.7603,2.5607345,0.29124522,8.9,16.21301534650456
NEBRASKA SETTLER,6.0,16.214602,-401.47165,3.1691737,0.54550946,7.7,17.078772725687102
NEBRASKA SETTLER,13.0,16.278828,-812.9308,2.8570857,0.48197314,7.7,17.078772725687102
OKLAHOMA,6.0,14.283489,-371.70477,2.8099504,0.36727056,7.7,15.737999929794523
OKLAHOMA,12.0,12.422347,-669.5611,2.582969,0.2771023,7.7,15.737999929794523
KANSAS,6.0,15.356839,-336.91037,2.7600389,0.40783882,7.7,16.21301534650456
OKLAHOMA,13.0,23.256773,-533.85516,3.1604655,0.76515263,4.4,15.737999929794523
KANSAS,6.0,17.133642,-345.80844,2.819868,0.45094055,7.7,16.21301534650456
KANSAS,12.0,14.576877,-712.0073,2.6778755,0.3779525,7.7,16.21301534650456
NEBRASKA SETTLER,8.0,15.013585,-522.4308,2.993857,0.49048898,7.7,17.078772725687102
KANSAS,9.0,20.660015,-343.24847,3.2029254,0.68879455,4.4,16.21301534650456
NEBRASKA OVERLAND,11.0,11.996962,-752.8684,2.664548,0.30517712,8.9,17.420924666307858
OKLAHOMA,7.0,14.090703,-402.64032,2.6633825,0.3109688,7.7,15.737999929794523
NEBRASKA OVERLAND,9.0,11.712263,-575.52954,2.5158374,0.2665323,8.9,17.420924666307858
KANSAS,9.0,12.427665,-542.33875,2.6534433,0.31951827,7.7,16.21301534650456
NEBRASKA OVERLAND,5.0,21.176239,-239.4036,3.6342769,0.711294,4.4,17.420924666307858
NEBRASKA OVERLAND,14.0,15.241703,-836.66565,2.6951966,0.42609656,7.7,17.420924666307858
NEBRASKA SETTLER,7.0,21.18134,-323.02206,3.7677732,0.88540477,4.4,17.078772725687102
OKLAHOMA,11.0,12.110325,-634.0308,2.6552596,0.30853802,7.7,15.737999929794523
OKLAHOMA,14.0,11.143353,-786.2383,2.5220544,0.24533647,7.7,15.737999929794523
OKLAHOMA,13.0,10.493752,-879.55853,2.5065365,0.23671125,8.9,15.737999929794523
OKLAHOMA,9.0,11.378712,-604.866,2.6903555,0.28134814,7.7,15.737999929794523
NEBRASKA SETTLER,14.0,14.971391,-896.40216,2.7988918,0.4154581,7.7,17.078772725687102
OKLAHOMA,9.0,24.148203,-373.91736,3.2547874,0.7339162,4.4,15.737999929794523
OKLAHOMA,6.0,23.190056,-250.31282,3.4433508,0.6238045,4.4,15.737999929794523
NEBRASKA OVERLAND,13.0,17.43615,-754.2612,2.7690487,0.51159495,6.5,17.420924666307858
OKLAHOMA,13.0,13.850828,-733.83496,2.579302,0.305487,7.7,15.737999929794523
KANSAS,12.0,17.796293,-625.1643,2.7735503,0.5347642,6.5,16.21301534650456
OKLAHOMA,9.0,13.181952,-591.91797,2.7653759,0.33434457,7.7,15.737999929794523
OKLAHOMA,9.0,11.590885,-560.6798,2.6653736,0.28339055,7.7,15.737999929794523
OKLAHOMA,6.0,16.157442,-347.80606,2.7190766,0.3805588,7.7,15.737999929794523
NEBRASKA OVERLAND,11.0,17.075893,-690.63556,2.7678087,0.4780975,7.7,17.420924666307858
NEBRASKA SETTLER,12.0,20.831123,-440.5613,2.9895031,0.67349046,4.4,17.078772725687102
OKLAHOMA,14.0,12.293718,-788.78094,2.5856571,0.28418702,7.7,15.737999929794523
NEBRASKA SETTLER,6.0,15.812191,-438.93625,3.3331711,0.5988872,7.7,17.078772725687102
NEBRASKA SETTLER,17.0,16.970001,-950.3776,2.7594655,0.5168441,7.7,17.078772725687102
KANSAS,10.0,20.801971,-386.8131,3.097811,0.6961472,4.4,16.21301534650456
NEBRASKA SETTLER,10.0,15.583832,-653.71576,2.94777,0.4975183,7.7,17.078772725687102
NEBRASKA OVERLAND,8.0,16.373377,-549.8615,2.90923,0.50986373,7.7,17.420924666307858
KANSAS,6.0,12.252305,-400.974,2.6348212,0.2962579,7.7,16.21301534650456
KANSAS,8.0,16.78936,-476.788,2.6625547,0.39558986,7.7,16.21301534650456
NEBRASKA OVERLAND,8.0,18.320425,-554.0015,2.8106382,0.52303153,7.7,17.420924666307858
KANSAS,6.0,14.233224,-389.0193,2.837073,0.39919177,7.7,16.21301534650456
NEBRASKA SETTLER,6.0,16.353401,-425.6515,3.1532836,0.5519231,7.7,17.078772725687102
OKLAHOMA,16.0,16.284666,-918.6613,2.632378,0.40882242,7.7,15.737999929794523
NEBRASKA OVERLAND,7.0,15.90811,-490.59448,3.1978881,0.57854044,7.7,17.420924666307858
NEBRASKA SETTLER,9.0,14.627171,-632.17773,3.0093534,0.48765847,7.7,17.078772725687102
KANSAS,12.0,11.426736,-763.88354,2.5135744,0.26074612,8.9,16.21301534650456
KANSAS,7.0,17.041803,-453.30548,3.4659429,0.696319,6.5,16.21301534650456
NEBRASKA OVERLAND,5.0,20.962664,-241.05135,3.852376,0.86629707,4.4,17.420924666307858
OKLAHOMA,7.0,14.743586,-448.44696,2.5123742,0.28024673,7.7,15.737999929794523
NEBRASKA SETTLER,14.0,20.537851,-702.6806,3.2029352,0.7899989,4.4,17.078772725687102
NEBRASKA SETTLER,7.0,19.5102,-440.70987,3.9056485,0.92424256,6.5,17.078772725687102
OKLAHOMA,14.0,22.233496,-544.67285,2.8314226,0.6233762,4.4,15.737999929794523
OKLAHOMA,8.0,23.707682,-397.86078,3.6796844,0.83735335,4.4,15.737999929794523
OKLAHOMA,8.0,15.137276,-508.7635,2.7515235,0.3741525,7.7,15.737999929794523
NEBRASKA OVERLAND,11.0,15.307868,-681.9381,2.7254715,0.42812386,6.5,17.420924666307858
NEBRASKA SETTLER,6.0,16.900928,-495.41992,3.316472,0.6242682,7.7,17.078772725687102
NEBRASKA SETTLER,7.0,17.592035,-567.2911,3.253517,0.6310036,7.7,17.078772725687102
KANSAS,8.0,12.031015,-589.30383,2.6692102,0.3093365,8.9,16.21301534650456
NEBRASKA OVERLAND,7.0,17.706364,-507.00732,3.1650422,0.6137826,7.7,17.420924666307858
KANSAS,10.0,13.502121,-602.3578,2.634578,0.35665005,7.7,16.21301534650456
NEBRASKA SETTLER,6.0,16.193785,-462.01782,3.1758,0.55599725,7.7,17.078772725687102
KANSAS,15.0,13.982019,-840.2992,2.6248803,0.34429464,7.7,16.21301534650456
OKLAHOMA,6.0,11.663344,-371.97104,2.6426606,0.2617141,7.7,15.737999929794523
OKLAHOMA,6.0,12.22889,-395.14093,2.7053416,0.30363563,7.7,15.737999929794523
OKLAHOMA,8.0,12.075791,-612.11487,2.8265615,0.32690257,8.9,15.737999929794523
KANSAS,15.0,14.088364,-834.2557,2.6110346,0.34532267,7.7,16.21301534650456
OKLAHOMA,7.0,18.084566,-437.13675,3.0649624,0.54656875,6.5,15.737999929794523
KANSAS,7.0,15.379655,-448.2418,2.6848543,0.3769772,6.5,16.21301534650456
NEBRASKA SETTLER,14.0,19.541672,-623.3389,3.3078027,0.7813024,4.4,17.078772725687102
NEBRASKA OVERLAND,7.0,16.336597,-503.82297,3.1445742,0.5946462,7.7,17.420924666307858
NEBRASKA OVERLAND,6.0,20.84091,-265.6431,3.577407,0.76620436,4.4,17.420924666307858
NEBRASKA SETTLER,10.0,15.185165,-655.82007,2.962004,0.48683158,7.7,17.078772725687102
NEBRASKA OVERLAND,11.0,18.167524,-758.91675,2.9922915,0.57999486,7.7,17.420924666307858
NEBRASKA SETTLER,6.0,16.001661,-468.94913,3.2447686,0.5664981,7.7,17.078772725687102
OKLAHOMA,6.0,11.89549,-381.25323,2.6419067,0.2807302,7.7,15.737999929794523
NEBRASKA OVERLAND,15.0,15.2356205,-892.8409,2.7424233,0.41513157,7.7,17.420924666307858
KANSAS,9.0,15.289654,-521.6745,2.6690443,0.38578406,7.7,16.21301534650456
NEBRASKA OVERLAND,17.0,18.026108,-845.44855,2.6411004,0.49536115,7.7,17.420924666307858
NEBRASKA SETTLER,14.0,20.666971,-614.0602,3.0262563,0.7307853,4.4,17.078772725687102
KANSAS,8.0,17.175816,-575.0556,2.9359832,0.5117192,7.7,16.21301534650456
OKLAHOMA,13.0,16.734919,-650.61127,2.6665962,0.40127707,6.5,15.737999929794523
NEBRASKA OVERLAND,12.0,21.224016,-395.00354,2.723977,0.56837577,4.4,17.420924666307858
NEBRASKA SETTLER,6.0,20.988815,-271.81018,3.8214862,0.88499415,4.4,17.078772725687102
KANSAS,7.0,15.702462,-481.75778,2.8871577,0.45198974,7.7,16.21301534650456
NEBRASKA OVERLAND,7.0,18.1759,-580.86896,3.3534677,0.6755344,7.7,17.420924666307858
KANSAS,8.0,21.004642,-378.35822,3.5535495,0.7816802,4.4,16.21301534650456
NEBRASKA SETTLER,9.0,15.2799425,-608.67444,2.826008,0.45321518,7.7,17.078772725687102
NEBRASKA SETTLER,8.0,17.409006,-543.665,2.9094024,0.50021636,7.7,17.078772725687102
KANSAS,12.0,17.997288,-645.8823,2.9170105,0.5865849,6.5,16.21301534650456
KANSAS,14.0,13.1815605,-809.769,2.58547,0.32614878,7.7,16.21301534650456
KANSAS,6.0,16.374056,-398.77048,2.9626913,0.50153834,7.7,16.21301534650456
KANSAS,5.0,15.475566,-308.65424,2.7674778,0.4086759,7.7,16.21301534650456
KANSAS,10.0,15.204947,-634.29297,2.7160523,0.40164617,7.7,16.21301534650456
NEBRASKA SETTLER,7.0,15.747734,-552.1749,3.1881201,0.5627442,7.7,17.078772725687102
