,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary,Type,Phase/Attn,Freq*d(cm),Freq*Attn
0,KANSAS,-49004.1484375,17171.736328125,-55469.1796875,-1166.020751953125,81080.296875,1364336.75,4109477.75,-6453.17236328125,-3100.0361328125,-7462.05078125,129190.5546875,-535849.0625,-1953327.875
1,KANSAS,-48924.4375,17144.326171875,-55390.30859375,-1164.192138671875,80967.078125,1362393.375,4103769.75,-6442.90771484375,-3095.527099609375,-7451.1181640625,129004.71875,-535099.375,-1950421.375
2,KANSAS,-42668.53515625,14951.5576171875,-48309.796875,-1015.2613525390625,70629.2265625,1188487.125,3579996.25,-5620.04150390625,-2699.978515625,-6496.734375,112523.1015625,-466760.375,-1701044.375
3,KANSAS,-63066.0546875,22095.72265625,-71383.6015625,-1500.672607421875,104331.0703125,1755816.875,5288809.5,-8304.9794921875,-3989.708984375,-9606.8212890625,166253.34375,-689628.1875,-2513634.75
4,KANSAS,-58438.37109375,20474.36328125,-66149.09375,-1390.6026611328125,96678.359375,1627035.875,4900696.5,-7695.4951171875,-3696.89013671875,-8900.6435546875,154059.53125,-639011.5,-2329187.75
5,KANSAS,-55663.4375,19501.7578125,-63017.03125,-1324.5653076171875,92110.2421875,1550109.25,4669858.0,-7330.76171875,-3521.76953125,-8478.7109375,146776.34375,-608767.25,-2218724.75
6,KANSAS,-37580.80078125,13166.4873046875,-42552.41015625,-894.1131591796875,62206.83203125,1046627.375,3153430.0,-4949.275390625,-2377.61083984375,-5719.22607421875,99110.875,-411077.09375,-1498028.375
7,KANSAS,-30151.55078125,10564.9091796875,-34137.515625,-717.287841796875,49915.6171875,839848.625,2529678.5,-3970.01025390625,-1907.8216552734375,-4586.154296875,79506.765625,-329851.4375,-1201943.75
8,KANSAS,-50303.3125,17621.45703125,-56962.19140625,-1197.0831298828125,83282.6796875,1401558.5,4222372.0,-6625.45751953125,-3183.365234375,-7661.35986328125,132671.484375,-550344.0,-2005308.25
9,KANSAS,-62064.18359375,21744.591796875,-70252.1953125,-1476.824462890625,102682.71875,1728082.75,5205224.5,-8173.0625,-3926.455322265625,-9454.28125,163614.65625,-678682.9375,-2473841.75
10,KANSAS,-66259.8671875,23218.087890625,-74996.6953125,-1576.768798828125,109596.09375,1844388.375,5555387.0,-8725.419921875,-4191.50732421875,-10094.083984375,174677.109375,-724430.625,-2641007.75
11,KANSAS,-58119.43359375,20363.533203125,-65781.90625,-1382.9271240234375,96133.8671875,1617825.75,4873169.5,-7652.6884765625,-3676.569091796875,-8851.9794921875,153207.546875,-635456.625,-2316385.0
12,KANSAS,-64986.3671875,22767.220703125,-73563.0390625,-1546.4609375,107518.6796875,1809452.875,5451084.5,-8557.8896484375,-4111.302734375,-9900.00390625,171351.25,-710661.5,-2590232.75
